93.160.60.22 | [02/Sep/2018:03:36:05 -1000] | - | - | GET /?SearchableText=security+and+privacy HTTP/1.1 | 301 | - | Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0) LinkCheck by Siteimprove.com | - | 306 | 269 | 744716
58.142.253.40 | [02/Sep/2018:03:37:21 -1000] | - | - | GET /wp-content/themes/hic_state_template_parent/style.css HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 143700 | 404 | 40880 | 173731
58.142.253.40 | [02/Sep/2018:03:37:21 -1000] | - | - | GET /wp-content/plugins/jquery-vertical-accordion-menu/js/jquery.hoverIntent.minified.js?ver=4.9.7 HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 1614 | 429 | 1826 | 262
58.142.253.40 | [02/Sep/2018:03:37:22 -1000] | - | - | GET /wp-content/plugins/jquery-vertical-accordion-menu/js/jquery.cookie.js?ver=4.9.7 HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 4341 | 415 | 4553 | 347
58.142.253.40 | [02/Sep/2018:03:37:22 -1000] | - | - | GET /wp-content/plugins/jquery-vertical-accordion-menu/js/jquery.dcjqaccordion.2.9.js?ver=4.9.7 HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 6982 | 426 | 7194 | 338
58.142.253.40 | [02/Sep/2018:03:37:22 -1000] | - | - | GET /wp-content/themes/hic_state_template_parent/css/onepcssgrid.css HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 2944 | 414 | 3149 | 301
58.142.253.40 | [02/Sep/2018:03:37:22 -1000] | - | - | GET /wp-content/themes/hic_state_template_parent/css/print.css HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 1167 | 408 | 1372 | 263
58.142.253.40 | [02/Sep/2018:03:37:22 -1000] | - | - | GET /wp-content/plugins/fancybox-for-wordpress/fancybox/jquery.fancybox.js?ver=1.3.8 HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 16373 | 415 | 16586 | 448
58.142.253.40 | [02/Sep/2018:03:37:22 -1000] | - | - | GET /wp-includes/js/thickbox/thickbox.js?ver=3.1-20121105 HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 13163 | 388 | 13376 | 456
58.142.253.40 | [02/Sep/2018:03:37:22 -1000] | - | - | GET /wp-content/themes/hic_state_template_parent/admin/images/seal/logo.png HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 13990 | 442 | 14289 | 692
58.142.253.40 | [02/Sep/2018:03:37:21 -1000] | - | - | GET /wp-includes/js/jquery/jquery.js?ver=1.12.4 HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 97184 | 378 | 97397 | 728546
58.142.253.40 | [02/Sep/2018:03:37:22 -1000] | - | - | GET /wp-content/plugins/simple_announcer_1_0_5/includes/jquery_cookie/jquery.cookie.js HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 1839 | 417 | 2051 | 325
58.142.253.40 | [02/Sep/2018:03:37:22 -1000] | - | - | GET /wp-content/themes/hic_state_template_parent/includes/nivo_slider/jquery.nivo.slider.pack.js HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 25292 | 427 | 25505 | 151938
58.142.253.40 | [02/Sep/2018:03:37:23 -1000] | - | - | GET /wp-content/plugins/page-links-to/js/new-tab.min.js?ver=2.11.1 HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 911 | 397 | 1122 | 297
58.142.253.40 | [02/Sep/2018:03:37:23 -1000] | - | - | GET /wp-content/themes/hic_state_template_parent/js/superclick.js HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 6039 | 396 | 6251 | 424
58.142.253.40 | [02/Sep/2018:03:37:23 -1000] | - | - | GET /wp-content/themes/hic_state_template_parent/js/init.js HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 15577 | 390 | 15790 | 443
58.142.253.40 | [02/Sep/2018:03:37:23 -1000] | - | - | GET /wp-includes/js/wp-embed.min.js?ver=4.9.7 HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 1398 | 376 | 1610 | 289
58.142.253.40 | [02/Sep/2018:03:37:23 -1000] | - | - | GET /wp-includes/js/wp-emoji-release.min.js?ver=4.9.7 HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 11721 | 384 | 11934 | 399
58.142.253.40 | [02/Sep/2018:03:37:23 -1000] | - | - | GET /wp-content/themes/hic_state_template_parent/admin/fonts/fontawesome-webfont.woff?v=3.2.1 HTTP/1.1 | 200 | http://ags.hawaii.gov/wp-content/themes/hic_state_template_parent/admin/css/font-awesome-st.css | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 43572 | 517 | 43795 | 155367
58.142.253.40 | [02/Sep/2018:03:37:23 -1000] | - | - | GET /wp-content/themes/hic_state_template_parent/images/design/sliver/globe.png HTTP/1.1 | 200 | http://ags.hawaii.gov/wp-content/themes/hic_state_template_parent/style.css | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 395 | 488 | 692 | 297
58.142.253.40 | [02/Sep/2018:03:37:23 -1000] | - | - | GET /wp-content/themes/hic_state_template_parent/images/design/header/background.jpg HTTP/1.1 | 200 | http://ags.hawaii.gov/wp-content/themes/hic_state_template_parent/style.css | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 4727 | 493 | 5026 | 697
58.142.253.40 | [02/Sep/2018:03:37:23 -1000] | - | - | GET /wp-content/themes/hic_state_template_parent/images/design/sliver/resize.png HTTP/1.1 | 200 | http://ags.hawaii.gov/wp-content/themes/hic_state_template_parent/style.css | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 293 | 489 | 590 | 1124
58.142.253.40 | [02/Sep/2018:03:37:23 -1000] | - | - | GET /wp-content/themes/hic_state_template_parent/images/design/sliver/hawaii.png HTTP/1.1 | 200 | http://ags.hawaii.gov/wp-content/themes/hic_state_template_parent/style.css | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 1585 | 489 | 1883 | 289
